status,product_area,response,justification,request_type
escalated,team-and-enterprise-plans/admin-management,Your request to restore access to the Claude team workspace has been forwarded to a human agent for further assistance.,"The user is requesting restoration of access to a Claude workspace, which involves administrative actions that only an admin or backend engineer can perform. The documentation does not provide a method for non-admin users to restore access themselves.",product_issue
escalated,general_support,Your request to review and potentially adjust your test score has been forwarded to a human agent for further assistance. They will review your case and get back to you shortly.,"The user is requesting a review and adjustment of their test score, which involves actions that only an administrator or backend engineer can perform. This falls under the category of score manipulation, which requires human intervention.",product_issue
escalated,support/consumer,Thank you for reaching out. Your case has been forwarded to a human agent for further assistance. They will be in touch with you shortly to help resolve your issue.,"The user is requesting a refund and action against a merchant, which involves a payment dispute that requires human intervention. Visa does not handle cardholder accounts directly, and such issues are typically managed by the financial institution that issued the card.",product_issue
escalated,hackerrank_community/subscriptions-payments-and-billing,Thank you for reaching out. Your request for a refund has been forwarded to our support team for further assistance. They will review your case and get back to you shortly.,The user is requesting a refund for a mock interview that stopped unexpectedly. This involves billing and refund processes that require human intervention to review and process.,product_issue
escalated,hackerrank_community/subscriptions-payments-and-billing,Thank you for reaching out regarding your payment issue. Your case has been forwarded to a human agent who will assist you further with your order ID: cs_live_abcdefgh.,"The issue involves a payment problem that may require human intervention to resolve, as the user is requesting assistance with a specific order ID and the documentation does not provide sufficient steps to address this directly.",product_issue
replied,general_support,"Thank you for considering HackerRank for your hiring needs. Unfortunately, we cannot assist with filling out your company's infosec forms as this is outside the scope of our support services. However, you can refer to our Quick Start Guide for Recruiters to get started with using HackerRank for hiring. If you have any specific questions about using the platform, feel free to reach out.",The request to fill out infosec forms is outside the scope of HackerRank's support services as per the retrieved documentation. The documentation provides guidance on using the platform but does not cover assistance with external processes like infosec forms.,invalid
replied,hackerrank_community/additional-resources,"The 'Apply' tab has been deprecated and is no longer available. If you are looking to practice coding challenges or mock interviews, you can find these features under the 'Prepare' tab on the HackerRank platform.","The user's issue relates to the missing 'Apply' tab, which has been removed as per the documentation. The user is directed to the 'Prepare' tab for practice resources.",product_issue
replied,hackerrank_community/practice-coding-challenges,"If none of your submissions across any challenges are working, please try the following steps: Close the challenge window and reopen it using the same challenge link. Alternatively, open the challenge in another supported browser such as the latest versions of Chrome, Firefox, or Edge to ensure full compatibility. Additionally, make sure your internet connection is stable. If the issue persists, please contact HackerRank support for further assistance.","The issue described relates to challenges not working, which is covered by the troubleshooting steps in the documentation for challenges not loading or processing correctly.",product_issue
replied,interviews,"To resolve the Zoom connectivity issue during the compatibility check, please ensure you are using a supported browser such as the latest version of Google Chrome or Microsoft Edge. Additionally, disable any unnecessary browser extensions and try running the test in Incognito or Private mode. If the issue persists, please contact support@hackerrank.com with a screenshot of the error message for further assistance.",The user is experiencing a compatibility issue related to Zoom during a HackerRank test. The documentation provides steps to verify system compatibility and suggests contacting support if issues persist.,product_issue
replied,screen/invite-candidates,"To reschedule your HackerRank assessment, you can be reinvited to retake the test. Please contact the recruiter or the company that invited you to the assessment and request them to reinvite you. They have the ability to send you a new invitation for the test.","The user is requesting a rescheduling of their assessment, which can be addressed by reinviting them to the test as per the documentation. This does not require escalation as it is a standard procedure.",product_issue
replied,interviews/manage-interviews,"Currently, the retrieved documentation does not specify the exact inactivity timeout settings for candidates or interviewers during HackerRank interviews. However, it is noted that candidates are moved to the lobby if no interviewer joins within 3 minutes. For specific adjustments to inactivity times, such as extending them, this would typically require administrative changes not covered in the available documentation. You may want to contact your HackerRank account representative for further assistance on this matter.","The retrieved documents do not provide specific details on inactivity timeout settings for candidates or interviewers. The request to extend inactivity times may require administrative intervention, but the documentation does not confirm this process.",feature_request
replied,claude-api-and-console/api-prompt-design,"It seems like you are experiencing an issue with Claude's responses. If Claude's responses are too brief or not as expected, consider retooling your prompts. You can try providing Claude with the previous prompt and response to help it pick up where it left off. For more detailed guidance, you might want to refer to the prompt design documentation available for Claude.","The issue described is related to Claude's prompt design and response behavior, which matches the documentation provided for Claude's API and console prompt design issues.",product_issue
